Start time: 2017-11-02 21:32:00.650452 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:03:24.711236
Start time: 2017-11-02 21:35:51.614626 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:23:21.379225
Start time: 2017-11-03 19:59:17.995577 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:05:37.936301
Start time: 2017-11-03 20:05:18.923941 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:44.652760
Start time: 2017-11-03 20:07:18.759089 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 4:55:43.099206
Start time: 2017-11-04 01:10:22.209655 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:09.038624
Start time: 2017-11-04 01:11:06.603207 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:02:42.412895
Start time: 2017-11-04 01:14:10.134855 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:01.786768
Start time: 2017-11-06 19:36:06.476422 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:56.493338
Start time: 2017-11-06 19:37:47.871453 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 7:11:46.359644
Start time: 2017-11-10 21:48:17.409696 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:37.077182
Start time: 2017-11-13 20:17:12.602553 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:33.214641
Start time: 2017-11-14 00:00:21.608922 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:46.659156
Start time: 2017-11-15 15:45:20.464801 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:14.550459
Start time: 2017-11-15 15:46:25.866670 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:10.764019
Start time: 2017-11-16 20:06:30.988098 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:18:45.171855
Start time: 2017-11-16 20:25:31.914728 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:57:21.748611
Start time: 2017-11-16 22:51:31.838772 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:42:22.583091
Start time: 2017-11-16 23:34:23.001020 Logout: likes - 0, follow - 2, unfollow - 0. followbacks: 0 Bot work time: 0:00:51.403463
Start time: 2017-11-16 23:39:28.507317 Logout: likes - 0, follow - 2, unfollow - 0. followbacks: 0 Bot work time: 0:01:33.688543
Start time: 2017-11-16 23:41:27.764010 Logout: likes - 0, follow - 6, unfollow - 0. followbacks: 0 Bot work time: 0:05:03.521220
Start time: 2017-11-16 23:46:59.111474 Logout: likes - 0, follow - 4, unfollow - 0. followbacks: 0 Bot work time: 0:02:14.064312
Start time: 2017-11-16 23:51:28.636468 Logout: likes - 0, follow - 6, unfollow - 0. followbacks: 0 Bot work time: 0:04:54.746990
Start time: 2017-11-17 00:33:13.929811 Logout: likes - 0, follow - 6, unfollow - 0. followbacks: 0 Bot work time: 0:06:10.353133
Start time: 2017-11-17 13:52:51.708615 Logout: likes - 0, follow - 1, unfollow - 0. followbacks: 0 Bot work time: 0:00:57.725133
Start time: 2017-11-17 14:04:55.250082 Logout: likes - 0, follow - 2, unfollow - 0. followbacks: 0 Bot work time: 0:01:45.786741
Start time: 2017-11-17 14:07:13.292932 Logout: likes - 0, follow - 1, unfollow - 0. followbacks: 0 Bot work time: 0:00:51.228080
Start time: 2017-11-17 14:16:23.218227 Logout: likes - 0, follow - 5, unfollow - 0. followbacks: 0 Bot work time: 0:04:23.582340
Start time: 2017-11-17 14:21:11.608911 Logout: likes - 0, follow - 13, unfollow - 0. followbacks: 0 Bot work time: 0:08:44.213708
Start time: 2017-11-17 16:13:03.575263 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:13.822786
Start time: 2017-11-17 16:13:36.443052 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:11.161658
Start time: 2017-11-17 16:15:07.399940 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:02:26.378377
Start time: 2017-11-17 16:17:51.076973 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:39.833942
Start time: 2017-11-17 18:23:31.728232 Logout: likes - 3, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:59.592376
Start time: 2017-11-17 18:26:16.887240 Logout: likes - 0, follow - 13, unfollow - 0. followbacks: 0 Bot work time: 0:04:01.882321
Start time: 2017-11-17 18:34:14.521170 Logout: likes - 0, follow - 12, unfollow - 0. followbacks: 0 Bot work time: 0:04:56.184280
Start time: 2017-11-17 18:45:14.757633 Logout: likes - 0, follow - 14, unfollow - 0. followbacks: 0 Bot work time: 0:04:29.228338
Start time: 2017-11-17 19:43:25.712571 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:59.229466
Start time: 2017-11-17 19:46:13.476253 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:44.735429
Start time: 2017-11-19 00:51:07.489359 Logout: likes - 0, follow - 5, unfollow - 0. followbacks: 0 Bot work time: 0:01:56.845915
Start time: 2017-11-22 21:07:57.598003 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 2:52:35.126291
Start time: 2017-11-27 14:33:40.635357 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:09.416140
Start time: 2017-11-27 14:34:34.217657 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:02:24.214879
Start time: 2017-11-27 14:37:19.144274 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:01:25.411220
Start time: 2017-11-27 14:39:07.160346 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:46.373600
Start time: 2017-11-27 14:40:13.563622 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:17.273270
Start time: 2017-11-27 14:44:43.238567 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:54.554673
Start time: 2017-11-27 14:57:36.211333 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:17.022636
Start time: 2017-11-27 15:54:43.370381 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:02:44.340038
Start time: 2017-11-27 15:57:48.529545 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:02:23.791452
Start time: 2017-11-27 16:00:28.937388 Logout: likes - 0, follow - 0, unfollow - 0. followbacks: 0 Bot work time: 0:00:20.035399
